Index,Nameplate kg/d,Technology,Year,Nameplate Capacity [kg/yr],Maximum Utilization [kg/kg],Production?,Lifetime [yr],Scaling Exponent,Capital Cost [$],Capital Cost [$/km],Capital Cost [$/km2],Capital recovery factor,Fixed Operating Cost [fraction of OvernightCapCost/y],Fixed Operating Cost [fraction of OvernightCapCost/km-y],Variable Operating Cost [$/kg],Variable Operating Cost [$/km/kg],Storage [kg],Storage [kg/km],Storage [kg/km2],Storage [kg/km3],Final year of technology availability,Reference,Storage Technology,,%CO2 Sequestration,Aannualized replacement costs % of CapEx,Technology description,Default Size (kg/d)
1,20000,Central Biomass Gasification,2015,7300000,0.9,Central,40,0.78,56287341.37,0,,0.063712463,0.112240369,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
2,24500,Central Biomass Gasification,2015,8942500,0.9,Central,40,0.78,65941205.93,0,,0.063712463,0.103047709,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
3,29000,Central Biomass Gasification,2015,10585000,0.9,Central,40,0.78,75210379.1,0,,0.063712463,0.096147422,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
4,33500,Central Biomass Gasification,2015,12227500,0.9,Central,40,0.78,84167085.5,0,,0.063712463,0.090731741,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
5,38000,Central Biomass Gasification,2015,13870000,0.9,Central,40,0.78,92862109.43,0,,0.063712463,0.086341538,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
6,42500,Central Biomass Gasification,2015,15512500,0.9,Central,40,0.78,101332954.4,0,,0.063712463,0.082694201,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
7,47000,Central Biomass Gasification,2015,17155000,0.9,Central,40,0.78,109608357.2,0,,0.063712463,0.079605082,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
8,51500,Central Biomass Gasification,2015,18797500,0.9,Central,40,0.78,117710980.7,0,,0.063712463,0.076947812,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
9,56000,Central Biomass Gasification,2015,20440000,0.9,Central,40,0.78,125659116.1,0,,0.063712463,0.074632629,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
10,60500,Central Biomass Gasification,2015,22082500,0.9,Central,40,0.78,133467809.1,0,,0.063712463,0.072593808,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
11,65000,Central Biomass Gasification,2015,23725000,0.9,Central,40,0.78,141149634.4,0,,0.063712463,0.070781977,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
12,69500,Central Biomass Gasification,2015,25367500,0.9,Central,40,0.78,148715243.7,0,,0.063712463,0.069159247,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
