,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,231094.60854226552,223167.2054939173,454261.8140361828,8366.316447324267
1,454262.5749150058,216766.37858984296,237496.19632516286,454262.5749150058,8366.316447324267
2,454263.3357938288,294936.49358650675,159326.84220732207,454263.3357938288,8366.316447324267
3,454264.0966726517,245155.60895327118,209108.48771938053,454264.0966726517,8366.316447324267
4,454264.8575514747,258516.20698753424,195748.65056394046,454264.8575514747,8366.316447324267
5,454265.61843029765,292550.95381243434,161714.6646178633,454265.61843029765,8366.316447324267
6,454266.37930912065,319164.1930466546,135102.18626246607,454266.37930912065,8366.316447324267
7,454267.1401879437,309729.56745014864,144537.57273779504,454267.1401879437,8366.316447324267
8,454267.9010667666,267331.2023580293,186936.69870873724,454267.9010667666,8366.316447324267
9,454268.66194558947,300696.3493611177,153572.3125844718,454268.66194558947,8366.316447324267
10,454269.42282441247,323068.23389600404,131201.18892840843,454269.42282441247,8366.316447324267
11,454270.18370323547,350909.249952094,103360.93375114148,454270.18370323547,8366.316447324267
12,454270.94458205847,367554.76061829465,86716.1839637638,454270.94458205847,8366.316447324267
13,454271.70546088135,357397.2389969226,96874.46646395873,454271.70546088135,8366.316447324267
14,454272.46633970435,349523.5827457338,104748.88359397059,454272.46633970435,8366.316447324267
15,454273.22721852735,371059.8252203901,83213.40199813721,454273.22721852735,8366.316447324267
16,454273.9880973503,436893.5835926219,17380.40450472837,454273.9880973503,8366.316447324267
17,454274.7489761733,422229.1941536922,32045.55482248106,454274.7489761733,8366.316447324267
18,454275.5098549961,408650.4060304132,45625.103824582875,454275.5098549961,8366.316447324267
19,454276.27073381917,332066.99998883676,122209.27074498242,454276.27073381917,8366.316447324267
20,454277.0316126421,355604.9376424444,98672.09397019775,454277.0316126421,8366.316447324267
21,454277.7924914651,313628.4169756591,140649.37551580605,454277.7924914651,8366.316447324267
22,454278.5533702881,354520.65138664696,99757.90198364116,454278.5533702881,8366.316447324267
23,454279.314249111,272510.85886929126,181768.45537981973,454279.314249111,8366.316447324267
24,454280.075127934,224924.05552385244,229356.01960408155,454280.075127934,8366.316447324267
25,454280.836006757,216937.92018970457,237342.91581705242,454280.836006757,8366.316447324267
26,454281.59688557993,205592.09939444924,248689.4974911307,454281.59688557993,8366.316447324267
27,454282.3577644028,160977.25035284227,293305.10741156054,454282.3577644028,8366.316447324267
28,454283.1186432258,124609.41373941727,329673.70490380854,454283.1186432258,8366.316447324267
29,454283.87952204875,76997.57424666663,377286.3052753821,454283.87952204875,8366.316447324267
