,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,541977.4990566564,0.0,541977.4990566564,541977.4990566564,10628.77944847512
1,576776.4767896814,0.0,576776.4767896814,576776.4767896814,11256.750265111226
2,386936.61678921076,0.0,386936.61678921076,386936.61678921076,7774.154427858054
3,507834.89874706697,0.0,507834.89874706697,507834.89874706697,10008.28626875629
4,475389.5799409983,0.0,475389.5799409983,475389.5799409983,9414.508483899874
5,392735.61407195375,0.0,392735.61407195375,392735.61407195375,7882.716415278972
6,328105.30949456047,0.0,328105.30949456047,328105.30949456047,6664.03268041466
7,351019.81950607366,0.0,351019.81950607366,351019.81950607366,7098.361589805874
8,297792.02236976544,0.0,297792.02236976544,297792.02236976544,6085.426595468557
9,113046.59283518647,0.0,113046.59283518647,113046.59283518647,2426.8461575907054
10,69716.59408393897,0.0,69716.59408393897,69716.59408393897,1495.677016350893
11,40567.26448986026,0.0,40567.26448986026,40567.26448986026,870.7114766920632
12,6511.512716126631,0.0,6511.512716126631,6511.512716126631,136.59342279493808
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,3540.9376818439146,0.0,3540.9376818439146,3540.9376818439146,0.0
16,42209.55379719747,0.0,42209.55379719747,42209.55379719747,753.6770115482981
17,77824.91885459686,0.0,77824.91885459686,77824.91885459686,1537.895004044894
18,110803.82357398697,0.0,110803.82357398697,110803.82357398697,2259.692584677314
19,296793.9432378144,0.0,296793.9432378144,296793.9432378144,5996.130732136882
20,239632.22821333734,0.0,239632.22821333734,239632.22821333734,4960.497397197127
21,341577.0548241004,0.0,341577.0548241004,341577.0548241004,6919.315804655898
22,242269.19053169998,0.0,242269.19053169998,242269.19053169998,5011.90124282241
23,441437.67735099077,0.0,441437.67735099077,441437.67735099077,8788.120575881268
24,557007.4761813409,0.0,557007.4761813409,557007.4761813409,10899.477717615884
25,576404.2241271272,0.0,576404.2241271272,576404.2241271272,11248.95980938056
26,603960.2081927459,0.0,603960.2081927459,603960.2081927459,11743.200077945849
27,712312.4037137899,0.0,712312.4037137899,712312.4037137899,13662.25200435241
28,800636.1404806778,0.0,800636.1404806778,800636.1404806778,15199.71049713011
29,916266.7413830709,0.0,916266.7413830709,916266.7413830709,17179.032287494323
30,991922.9163620229,0.0,991922.9163620229,991922.9163620229,18454.889996432637
31,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.75373396391
32,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.72426245835
33,617041.7575826986,0.0,617041.7575826986,617041.7575826986,11976.796061612346
34,264090.75492413866,0.0,264090.75492413866,264090.75492413866,5435.663567508078
35,238712.96362558167,0.0,238712.96362558167,238712.96362558167,4942.4372599378785
36,208014.97282856292,0.0,208014.97282856292,208014.97282856292,4340.323354863848
37,199040.72457549386,0.0,199040.72457549386,199040.72457549386,4163.074418155685
38,236588.68969868828,0.0,236588.68969868828,236588.68969868828,4900.948252492774
39,258603.44453475243,0.0,258603.44453475243,258603.44453475243,5329.3058955627
40,348680.7121298085,0.0,348680.7121298085,348680.7121298085,7053.555610937244
41,532357.0196508246,0.0,532357.0196508246,532357.0196508246,10453.095469926771
42,689858.8069279644,0.0,689858.8069279644,689858.8069279644,13267.348796485465
43,891302.2526717599,0.0,891302.2526717599,891302.2526717599,16754.426661190857
44,702425.0885702086,0.0,702425.0885702086,702425.0885702086,13488.338316894142
45,612548.0557288078,0.0,612548.0557288078,612548.0557288078,11896.359670364465
46,688121.1494780431,0.0,688121.1494780431,688121.1494780431,13236.664410918565
