,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25470.862462396366
1,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25470.862462396366
2,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25470.862462396366
3,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25470.862462396366
4,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25470.862462396366
5,1336069.4363096228,0.0,1336069.4363096228,1336069.4363096228,24791.92633962067
6,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25470.862462396366
7,1294758.9823231697,0.0,1294758.9823231697,1294758.9823231697,24100.417370207524
8,1354740.3439931863,0.0,1354740.3439931863,1354740.3439931863,25103.43229792648
9,971289.9391369376,0.0,971289.9391369376,971289.9391369376,18567.172253915065
10,605134.5420749412,0.0,605134.5420749412,605134.5420749412,12009.08605221503
11,381328.8320929666,0.0,381328.8320929666,381328.8320929666,7803.615600402607
12,222691.82707923828,0.0,222691.82707923828,222691.82707923828,4697.239428750648
13,507766.4735266565,0.0,507766.4735266565,507766.4735266565,10200.79893203668
14,561552.1356733469,0.0,561552.1356733469,561552.1356733469,11203.45100030954
15,89014.59627708263,0.0,89014.59627708263,89014.59627708263,1910.7639446985409
16,1376812.057788075,0.0,1376812.057788075,1376812.057788075,23682.620786708685
17,430546.71256396716,0.0,430546.71256396716,430546.71256396716,8743.654460129783
18,345471.20636024943,0.0,345471.20636024943,345471.20636024943,7111.812948803296
19,569322.0038271061,0.0,569322.0038271061,569322.0038271061,11347.181036699541
20,919007.744566664,0.0,919007.744566664,919007.744566664,17650.73537068996
21,1181035.7599320402,0.0,1181035.7599320402,1181035.7599320402,22178.68973570345
22,689527.387751278,0.0,689527.387751278,689527.387751278,13551.951151341862
23,547550.5592650601,0.0,547550.5592650601,547550.5592650601,10943.020272635575
24,702745.8777970292,0.0,702745.8777970292,702745.8777970292,13791.782395937566
25,683532.2426106586,0.0,683532.2426106586,683532.2426106586,13442.933709962683
26,855119.3335847148,0.0,855119.3335847148,855119.3335847148,16522.911562422418
27,837237.4203931307,0.0,837237.4203931307,837237.4203931307,16205.473121412977
28,902520.1790551828,0.0,902520.1790551828,902520.1790551828,17360.44952122543
29,990544.358333713,0.0,990544.358333713,990544.358333713,18901.707074444184
30,784626.7523089835,0.0,784626.7523089835,784626.7523089835,15266.849097975097
31,747635.3389095301,0.0,747635.3389095301,747635.3389095301,14602.612096382885
32,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25469.33434075346
33,697367.7977191481,0.0,697367.7977191481,697367.7977191481,13694.05274480846
34,408939.44418695755,0.0,408939.44418695755,408939.44418695755,8331.81938098701
35,341537.4131033601,0.0,341537.4131033601,341537.4131033601,7035.411630295825
36,291508.87339975545,0.0,291508.87339975545,291508.87339975545,6059.987177685921
37,458476.231291702,0.0,458476.231291702,458476.231291702,9272.883768351758
38,367271.4420040707,0.0,367271.4420040707,367271.4420040707,7532.618620273895
39,239392.34097213807,0.0,239392.34097213807,239392.34097213807,5030.174913995137
40,328066.65492330346,0.0,328066.65492330346,328066.65492330346,6773.886115018858
41,469416.20989598567,0.0,469416.20989598567,469416.20989598567,9479.422291041848
42,520636.16884136875,0.0,520636.16884136875,520636.16884136875,10441.00539799903
43,625938.4185915441,0.0,625938.4185915441,625938.4185915441,12390.597913276426
44,516342.9756339754,0.0,516342.9756339754,516342.9756339754,10360.721902859395
45,557619.4576180745,0.0,557619.4576180745,557619.4576180745,11129.719539793616
46,856040.2767429744,0.0,856040.2767429744,856040.2767429744,16538.743799033495
47,307107.5743701061,0.0,307107.5743701061,307107.5743701061,6365.300760605144
48,466748.18524588284,0.0,466748.18524588284,466748.18524588284,9428.974049177084
49,520561.585577034,0.0,520561.585577034,520561.585577034,10439.497470758817
50,432666.56949792965,0.0,432666.56949792965,432666.56949792965,8783.541387502357
51,238540.580603634,0.0,238540.580603634,238540.580603634,5013.117464494212
52,790979.664658172,0.0,790979.664658172,790979.664658172,15380.055477696837
53,387811.09794221696,0.0,387811.09794221696,387811.09794221696,7927.254845994216
54,293734.2847708531,0.0,293734.2847708531,293734.2847708531,6103.4578722003525
55,840286.0134282284,0.0,840286.0134282284,840286.0134282284,16258.96730613867
56,492792.4908162512,0.0,492792.4908162512,492792.4908162512,9919.193189383206
57,347330.0614640455,0.0,347330.0614640455,347330.0614640455,7147.343229769358
58,358434.055453003,0.0,358434.055453003,358434.055453003,7361.9526103385815
59,363153.4629496383,0.0,363153.4629496383,363153.4629496383,7452.994899090223
60,331759.7754300035,0.0,331759.7754300035,331759.7754300035,6845.432846025697
61,350856.46267026826,0.0,350856.46267026826,350856.46267026826,7215.516122932147
62,635552.9940912882,0.0,635552.9940912882,635552.9940912882,12566.525988037507
63,608251.0621282926,0.0,608251.0621282926,608251.0621282926,12065.191498924258
64,835699.5465666184,0.0,835699.5465666184,835699.5465666184,16177.250023091492
65,973540.0045807244,0.0,973540.0045807244,973540.0045807244,18604.38522496022
66,1262802.9182626551,0.0,1262802.9182626551,1262802.9182626551,23560.718359582785
