,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058265012465
1,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058265012465
2,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058265012465
3,742405.1032864099,0.0,742405.1032864099,742405.1032864099,13948.60489760637
4,544285.2924548463,0.0,544285.2924548463,544285.2924548463,10510.771675256425
5,676034.4953257308,0.0,676034.4953257308,676034.4953257308,12812.124032766731
6,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058265012465
7,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058265012465
8,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058265012465
9,791211.7167028877,0.0,791211.7167028877,791211.7167028877,14775.087173957538
10,549121.5114868375,0.0,549121.5114868375,549121.5114868375,10596.288853778979
11,577251.8708550531,0.0,577251.8708550531,577251.8708550531,11092.489985196766
12,440987.88920441683,0.0,440987.88920441683,440987.88920441683,8659.295524826608
13,303167.4077181573,0.0,303167.4077181573,303167.4077181573,6113.46730548745
14,600529.5415316835,0.0,600529.5415316835,600529.5415316835,11500.80232135795
15,546180.0172201098,0.0,546180.0172201098,546180.0172201098,10544.145343393653
16,312397.5317042048,0.0,312397.5317042048,312397.5317042048,6287.009248447743
17,320479.9787516471,0.0,320479.9787516471,320479.9787516471,6438.589340253033
18,329367.11311981786,0.0,329367.11311981786,329367.11311981786,6604.854524442917
19,391856.50888015726,0.0,391856.50888015726,391856.50888015726,7762.39663043375
20,366199.0016106068,0.0,366199.0016106068,366199.0016106068,7289.516344475812
21,538541.574469691,0.0,538541.574469691,538541.574469691,10408.698135374976
22,617280.4668415183,0.0,617280.4668415183,617280.4668415183,11793.29324997391
23,652794.3993563389,0.0,652794.3993563389,652794.3993563389,12410.354292319782
