,0
Useful Life,30.0
Wind Cost ($/kW),1632.3120000000001
Solar Cost ($/kW),637.63
Electrolyzer Installed Cost ($/kW),326.19104000000004
Wind capacity (MW),608.0
Solar capacity (MW),200.0
Battery storage capacity (MW),100.0
Battery storage duration (hr),4.0
Electrolyzer capacity (MW),560.0
Total Electricity Production (kWh),4720775883.086804
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity (kg-CO2/kg-H2),1.1680954670214798
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.4052255875524985
Ren PTC ($/kg),0.14325527845047784
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-1354902786.3451056
NPV Solar Expenses,-162233149.93212044
NPV HVDC Expenses,0.0
LCOE ($/MWh),0.591418339298938
Electricity CF (-),1.0
LCOH ($/kg),3.3769261028721442
Electrolyzer CF (-),0.9598911476231048
Fraction of electricity from renewables (-),0.5130639688812462
Average stack life (hrs),77974.0
Number of stack clusters (-),14.0
Hydrogen storage duration (hr),2.63400242317773e-12
Hydrogen storage capacity (kg),3.1865056371316314e-08
Hydrogen storage CAPEX ($/kg),1701.289242815345
Hydrogen annual production (kg),86227231.47492693
Hydrogen production total CAPEX ($),1328863382.4921465
Hydrogen transmission total CAPEX ($),64678810.390428
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),0.017346633095869052
LCOH: Electrolyzer CAPEX ($/kg),0.21037329796250154
LCOH: Desalination CAPEX ($/kg),0.000730074110786348
LCOH: Electrolyzer FOM ($/kg),0.08313078450033318
LCOH:Desalination FOM ($/kg),0.0015688689446587782
LCOH: Electrolyzer VOM ($/kg),0.07117337840339127
LCOH: Wind Plant CAPEX ($/kg),0.7342226247358893
LCOH: Wind Plant FOM ($/kg),0.2618165461402333
LCOH: Solar Plant CAPEX ($/kg),0.10128876978838398
LCOH: Solar Plant FOM ($/kg),0.030733339693901074
LCOH: Battery Storage CAPEX ($/kg),0.05678957263514463
LCOH: Battery Storage FOM ($/kg),0.020730507435037043
LCOH: Taxes and Finances ($/kg),-0.19719150329283522
LCOH: Water consumption ($/kg),0.016728232189973623
LCOH: Grid electricity ($/kg),1.8252361457555062
LCOH: Bulk H2 Transmission ($/kg),0.14390727136817347
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),30.726548627845563
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),30.726548627845553
Steel Price with Integration ($/tonne),893.6816035968259
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),7.624461472422063
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.298867679336465
Steel price: Carbon ($/tonne),12.38624918579932
Steel price: Iron Ore ($/tonne),395.7655751883174
Steel price: Hydrogen ($/tonne),222.74204574544663
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),37.498058649072
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.362773142327796
Steel price: Equipment Financing ($/tonne),55.97099108525442
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),898.4475550709162
(-) Steel price: BOS savings ($/tonne),6.026858165096562
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.6662148501802474
Ammonia price: Electricity ($/kg),0.036165333413059
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.003564736730903783
Ammonia price: Equipment Financing ($/kg),0.01624249666327688
Ammonia price: Remaining Financial ($/kg),0.004147228749943437
Ammonia price: Total ($/kg),0.76555967347915
