,0
Useful Life,30.0
Wind Cost ($/kW),1775.5200000000002
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),326.19104000000004
Wind capacity (MW),1703.8918392600297
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1520.0
Total Electricity Production (kWh),4512501394.966602
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.0
Ren PTC ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-3957307426.662733
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),61.929649276311565
Electricity CF (-),0.3388985065914529
LCOH ($/kg),5.59204102012557
Electrolyzer CF (-),0.3478913090301489
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),20974.0
Number of stack clusters (-),38.0
Hydrogen storage duration (hr),433.4214778206549
Hydrogen storage capacity (kg),15132740.874424998
Hydrogen storage CAPEX ($/kg),17.164317691925053
Hydrogen annual production (kg),84814873.03493455
Hydrogen production total CAPEX ($),3842622530.2682858
Hydrogen transmission total CAPEX ($),64195982.52206658
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),0.2654860835920956
LCOH: Electrolyzer CAPEX ($/kg),1.2790774468683348
LCOH: Desalination CAPEX ($/kg),0.0020762492215344198
LCOH: Electrolyzer FOM ($/kg),0.2293719390670909
LCOH:Desalination FOM ($/kg),0.004328775605107904
LCOH: Electrolyzer VOM ($/kg),0.06693673057448335
LCOH: Wind Plant CAPEX ($/kg),2.5176022830926272
LCOH: Wind Plant FOM ($/kg),0.74586182445666
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.31644353441361095
LCOH: Water consumption ($/kg),0.02226912928759893
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.1483358174365651
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),28.585313879524815
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),28.585313879524776
Steel Price with Integration ($/tonne),1071.1760954716344
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),7.852055701734899
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.2519312251966808
Steel price: Carbon ($/tonne),11.211796223663695
Steel price: Iron Ore ($/tonne),431.0859990658774
Steel price: Hydrogen ($/tonne),368.8510256874826
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),40.75219219722001
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.944598804644588
Steel price: Equipment Financing ($/tonne),57.52083102735378
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1084.2689628561136
(-) Steel price: BOS savings ($/tonne),6.026858165096562
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.1032224742069836
Ammonia price: Electricity ($/kg),0.03930381121642405
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.004591153430247086
Ammonia price: Equipment Financing ($/kg),0.019017623294834703
Ammonia price: Remaining Financial ($/kg),0.004147228749943438
Ammonia price: Total ($/kg),1.2095073186401522
