,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Hydrogen Storage,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Operating Expenses,Administrative expenses,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Operating Expenses,Road tax,0.0
11,Operating Expenses,Non-depreciable assets,0.00011370738844397688
12,Operating Expenses,Desalination,0.0003583490655106063
13,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
14,Operating Expenses,Cash on hand reserve,0.008060699143378862
15,Operating Expenses,Compression,0.008514409246684989
16,Operating Expenses,Water,0.016728232189973623
17,Operating Expenses,Property insurance,0.01916321659766529
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02439023482123304
19,Operating Expenses,Battery Storage,0.03252031309497739
20,Operating Expenses,Solar Plant Fixed O&M Cost,0.03615894952518464
21,Operating Expenses,Solar Plant,0.05800259367482638
22,Operating Expenses,Var O&M,0.07110411790168084
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
24,Financing cash outflow,Income taxes payable,0.08536041553001412
25,Operating Expenses,Electrolysis system,0.10325948231755386
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.27155909247741705
27,Financing cash outflow,Repayment of debt,0.3106545945853756
28,Operating Expenses,Wind Plant,0.3669950298814256
29,Financing cash outflow,Interest expense,0.5013033192824207
30,Financing cash outflow,Dividends paid,0.6503500726685829
31,Operating Expenses,Grid Electricity Cost,1.718656389448932
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00011370738844397688
36,Financing cash inflow,One time capital incentive,0.0019512187856986433
37,Operating Revenue,Cash on hand recovery,0.008060699143378862
38,Financing cash inflow,Monetized tax losses,0.30814260642283975
39,Financing cash inflow,Inflow of debt,0.3106545945853756
40,Financing cash inflow,Inflow of equity,0.5496028322947661
41,Operating Revenue,Hydrogen sales,3.1901438872702097
