,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,9.896861317075479e-05
16,Operating Expenses,Desalination,0.0007537578145158187
17,Operating Expenses,Desalination Fixed O&M Cost,0.0033279092661923854
18,Operating Expenses,Water,0.016728232189973616
19,Operating Expenses,Compression,0.017909360239379786
20,Operating Expenses,Cash on hand reserve,0.019316278307366343
21,Operating Expenses,Var O&M,0.06772119108169193
22,Operating Expenses,Property insurance,0.09838862270157768
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.176338316203124
24,Operating Expenses,Electrolysis system,0.3520102866464657
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.576362762501299
26,Operating Expenses,Wind Plant,0.8445944146252311
27,Financing cash outflow,Income taxes payable,0.9837260593550126
28,Financing cash outflow,Repayment of debt,1.58248627434384
29,Operating Expenses,Hydrogen Storage,1.7160673460197515
30,Financing cash outflow,Interest expense,2.5536581009086543
31,Financing cash outflow,Dividends paid,4.037638857234637
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,9.896861317075479e-05
37,Operating Revenue,Cash on hand recovery,0.019316278307366343
38,Financing cash inflow,Monetized tax losses,0.5135406019463611
39,Financing cash inflow,Inflow of debt,1.58248627434384
40,Financing cash inflow,Inflow of equity,2.766396694611246
41,Operating Revenue,Hydrogen sales,8.163076996046536
