,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Income taxes payable,0.0
13,Operating Expenses,Credit card fees,0.0
14,Financing cash outflow,Capital gains taxes payable,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Non-depreciable assets,9.873413087837436e-05
17,Operating Expenses,Desalination,0.0006223216277928949
18,Operating Expenses,Desalination Fixed O&M Cost,0.002747606554519429
19,Operating Expenses,Compression,0.014786423440345343
20,Operating Expenses,Cash on hand reserve,0.01804459747872834
21,Operating Expenses,Water,0.021398416886543536
22,Operating Expenses,Property insurance,0.024618266450531934
23,Operating Expenses,Hydrogen Storage,0.039212932550331474
24,Operating Expenses,Var O&M,0.06801971729783182
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.14558940002801574
26,Operating Expenses,Electrolysis system,0.2535271185068611
27,Operating Expenses,Wind Plant,0.42520093250687996
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.4616339387237852
29,Financing cash outflow,Repayment of debt,0.5487541928889381
30,Financing cash outflow,Interest expense,0.6609706435745495
31,Financing cash outflow,Dividends paid,1.002373383007839
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,9.873413087837436e-05
37,Operating Revenue,Cash on hand recovery,0.01804459747872834
38,Financing cash inflow,Inflow of debt,0.5487541928889381
39,Operating Revenue,Hydrogen sales,1.5042347149146413
40,Financing cash inflow,Inflow of equity,2.095348944280234
41,Financing cash inflow,Monetized tax losses,2.5261401396961927
